outfit_id,category,link,color_chip_id
68,0,http://www.uniqlo.com/tw/store/goods/404164,12
68,1,http://www.uniqlo.com/tw/store/goods/405637,69
70,0,http://www.uniqlo.com/tw/store/goods/400501,58
70,0,http://www.uniqlo.com/tw/store/goods/405194,69
70,1,http://www.uniqlo.com/tw/store/goods/407033,69
71,0,http://www.uniqlo.com/tw/store/goods/407638,03
71,0,http://www.uniqlo.com/tw/store/goods/400500,69
71,1,http://www.uniqlo.com/tw/store/goods/406707,03
71,-1,http://www.uniqlo.com/tw/store/goods/404889,09
72,0,http://www.uniqlo.com/tw/store/goods/404354,05
72,1,http://www.uniqlo.com/tw/store/goods/403996,69
72,-1,http://www.uniqlo.com/tw/store/goods/407545,09
72,-1,http://www.uniqlo.com/tw/store/goods/404889,69
73,0,http://www.uniqlo.com/tw/store/goods/404164,12
73,1,http://www.uniqlo.com/tw/store/goods/405637,69
73,-1,http://www.uniqlo.com/tw/store/goods/404876,69
74,0,http://www.uniqlo.com/tw/store/goods/404363,33
75,0,http://www.uniqlo.com/tw/store/goods/404354,69
75,1,http://www.uniqlo.com/tw/store/goods/407033,69
75,-1,http://www.uniqlo.com/tw/store/goods/404907,09
76,0,http://www.uniqlo.com/tw/store/goods/406805,68
77,0,http://www.uniqlo.com/tw/store/goods/404165,03
77,-1,http://www.uniqlo.com/tw/store/goods/404888,16
79,0,http://www.uniqlo.com/tw/store/goods/406147,00
80,0,http://www.uniqlo.com/tw/store/goods/404362,09
80,0,http://www.uniqlo.com/tw/store/goods/400500,08
81,-1,http://www.uniqlo.com/tw/store/goods/402804,09
82,0,http://www.uniqlo.com/tw/store/goods/400502,08
82,1,http://www.uniqlo.com/tw/store/goods/405637,00
83,1,http://www.uniqlo.com/tw/store/goods/406729,31
84,0,http://www.uniqlo.com/tw/store/goods/404354,05
84,1,http://www.uniqlo.com/tw/store/goods/403996,69
84,-1,http://www.uniqlo.com/tw/store/goods/407545,09
84,-1,http://www.uniqlo.com/tw/store/goods/404889,69
85,0,http://www.uniqlo.com/tw/store/goods/400504,69
85,1,http://www.uniqlo.com/tw/store/goods/403971,31
87,0,http://www.uniqlo.com/tw/store/goods/182571,09
88,0,http://www.uniqlo.com/tw/store/goods/407708,01
90,-1,http://www.uniqlo.com/tw/store/goods/407592,09
91,0,http://www.uniqlo.com/tw/store/goods/182571,09
92,0,http://www.uniqlo.com/tw/store/goods/400500,08
92,0,http://www.uniqlo.com/tw/store/goods/404354,05
92,-1,http://www.uniqlo.com/tw/store/goods/406401,08
93,0,http://www.uniqlo.com/tw/store/goods/400500,34
93,1,http://www.uniqlo.com/tw/store/goods/403971,00
94,0,http://www.uniqlo.com/tw/store/goods/400502,65
94,-1,http://www.uniqlo.com/tw/store/goods/404914,09
95,0,http://www.uniqlo.com/tw/store/goods/400504,55
95,0,http://www.uniqlo.com/tw/store/goods/404132,78
95,-1,http://www.uniqlo.com/tw/store/goods/404914,69
96,0,http://www.uniqlo.com/tw/store/goods/400502,25
96,0,http://www.uniqlo.com/tw/store/goods/404362,15
96,1,http://www.uniqlo.com/tw/store/goods/405637,32
96,0,http://www.uniqlo.com/tw/store/goods/404140,00
97,0,http://www.uniqlo.com/tw/store/goods/404361,24
97,0,http://www.uniqlo.com/tw/store/goods/404164,09
97,0,http://www.uniqlo.com/tw/store/goods/404422,00
97,-1,http://www.uniqlo.com/tw/store/goods/404876,09
98,0,http://www.uniqlo.com/tw/store/goods/405135,67
98,-1,http://www.uniqlo.com/tw/store/goods/404873,09
98,-1,http://www.uniqlo.com/tw/store/goods/404888,58
100,-1,http://www.uniqlo.com/tw/store/goods/404888,09
101,0,http://www.uniqlo.com/tw/store/goods/400493,57
102,0,http://www.uniqlo.com/tw/store/goods/400501,19
102,-1,http://www.uniqlo.com/tw/store/goods/406415,00
103,0,http://www.uniqlo.com/tw/store/goods/400621,61
104,0,http://www.uniqlo.com/tw/store/goods/403164,53
105,0,http://www.uniqlo.com/tw/store/goods/405544,09
105,0,http://www.uniqlo.com/tw/store/goods/400667,01
105,1,http://www.uniqlo.com/tw/store/goods/402923,57
106,0,http://www.uniqlo.com/tw/store/goods/403165,37
106,1,http://www.uniqlo.com/tw/store/goods/402773,35
107,3,http://www.uniqlo.com/tw/store/goods/403588,32
107,0,http://www.uniqlo.com/tw/store/goods/402256,78
107,-1,http://www.uniqlo.com/tw/store/goods/402584,09
108,0,http://www.uniqlo.com/tw/store/goods/402259,09
108,0,http://www.uniqlo.com/tw/store/goods/402353,35
108,1,http://www.uniqlo.com/tw/store/goods/402773,09
108,-1,http://www.uniqlo.com/tw/store/goods/400049,09
109,0,http://www.uniqlo.com/tw/store/goods/403164,53
110,0,http://www.uniqlo.com/tw/store/goods/402736,09
110,0,http://www.uniqlo.com/tw/store/goods/402256,00
110,1,http://www.uniqlo.com/tw/store/goods/400137,09
111,0,http://www.uniqlo.com/tw/store/goods/402363,57
111,0,http://www.uniqlo.com/tw/store/goods/403165,01
111,1,http://www.uniqlo.com/tw/store/goods/404123,00
111,-1,http://www.uniqlo.com/tw/store/goods/403108,00
112,0,http://www.uniqlo.com/tw/store/goods/402360,68
112,0,http://www.uniqlo.com/tw/store/goods/402257,03
112,1,http://www.uniqlo.com/tw/store/goods/402774,69
112,-1,http://www.uniqlo.com/tw/store/goods/403038,00
113,0,http://www.uniqlo.com/tw/store/goods/403213,01
113,0,http://www.uniqlo.com/tw/store/goods/403272,09
113,1,http://www.uniqlo.com/tw/store/goods/404850,34
113,-1,http://www.uniqlo.com/tw/store/goods/403264,65
113,-1,http://www.uniqlo.com/tw/store/goods/401987,09
114,0,http://www.uniqlo.com/tw/store/goods/403201,33
114,0,http://www.uniqlo.com/tw/store/goods/403276,01
114,0,http://www.uniqlo.com/tw/store/goods/403214,61
114,1,http://www.uniqlo.com/tw/store/goods/403283,69
114,-1,http://www.uniqlo.com/tw/store/goods/403264,65
115,0,http://www.uniqlo.com/tw/store/goods/403274,03
115,0,http://www.uniqlo.com/tw/store/goods/403213,63
115,1,http://www.uniqlo.com/tw/store/goods/404850,34
116,0,http://www.uniqlo.com/tw/store/goods/403206,66
116,0,http://www.uniqlo.com/tw/store/goods/403273,99
116,1,http://www.uniqlo.com/tw/store/goods/404849,66
116,-1,http://www.uniqlo.com/tw/store/goods/403264,99
116,-1,http://www.uniqlo.com/tw/store/goods/401987,09
117,0,http://www.uniqlo.com/tw/store/goods/403204,58
117,0,http://www.uniqlo.com/tw/store/goods/403214,63
117,1,http://www.uniqlo.com/tw/store/goods/404850,34
117,-1,http://www.uniqlo.com/tw/store/goods/401987,66
118,0,http://www.uniqlo.com/tw/store/goods/403272,00
118,0,http://www.uniqlo.com/tw/store/goods/403273,99
118,1,http://www.uniqlo.com/tw/store/goods/404849,66
118,-1,http://www.uniqlo.com/tw/store/goods/403264,99
118,-1,http://www.uniqlo.com/tw/store/goods/403258,09
119,0,http://www.uniqlo.com/tw/store/goods/403201,33
119,0,http://www.uniqlo.com/tw/store/goods/403214,61
119,1,http://www.uniqlo.com/tw/store/goods/403283,09
120,0,http://www.uniqlo.com/tw/store/goods/403204,09
120,0,http://www.uniqlo.com/tw/store/goods/403275,69
120,1,http://www.uniqlo.com/tw/store/goods/403283,69
121,0,http://www.uniqlo.com/tw/store/goods/403206,58
121,0,http://www.uniqlo.com/tw/store/goods/403274,03
121,0,http://www.uniqlo.com/tw/store/goods/403213,63
121,1,http://www.uniqlo.com/tw/store/goods/404850,34
122,0,http://www.uniqlo.com/tw/store/goods/403276,69
122,0,http://www.uniqlo.com/tw/store/goods/404863,66
122,1,http://www.uniqlo.com/tw/store/goods/403283,69
123,0,http://www.uniqlo.com/tw/store/goods/404035,16
123,0,http://www.uniqlo.com/tw/store/goods/403066,08
123,1,http://www.uniqlo.com/tw/store/goods/402773,09
123,0,http://www.uniqlo.com/tw/store/goods/402363,08
124,0,http://www.uniqlo.com/tw/store/goods/400504,69
124,0,http://www.uniqlo.com/tw/store/goods/400339,17
124,0,http://www.uniqlo.com/tw/store/goods/400663,02
125,0,http://www.uniqlo.com/tw/store/goods/400511,02
125,0,http://www.uniqlo.com/tw/store/goods/401764,69
125,-1,http://www.uniqlo.com/tw/store/goods/400046,08
125,-1,http://www.uniqlo.com/tw/store/goods/400045,09
126,2,http://www.uniqlo.com/tw/store/goods/400181,01
126,2,http://www.uniqlo.com/tw/store/goods/400245,69
127,0,http://www.uniqlo.com/tw/store/goods/400337,57
127,0,http://www.uniqlo.com/tw/store/goods/400335,00
127,1,http://www.uniqlo.com/tw/store/goods/400483,32
128,0,http://www.uniqlo.com/tw/store/goods/401386,08
128,-1,http://www.uniqlo.com/tw/store/goods/401630,01
128,0,http://www.uniqlo.com/tw/store/goods/400662,01
128,0,http://www.uniqlo.com/tw/store/goods/400621,31
129,0,http://www.uniqlo.com/tw/store/goods/401215,09
129,0,http://www.uniqlo.com/tw/store/goods/400330,08
129,0,http://www.uniqlo.com/tw/store/goods/400624,09
129,1,http://www.uniqlo.com/tw/store/goods/401756,09
130,0,http://www.uniqlo.com/tw/store/goods/400620,08
130,1,http://www.uniqlo.com/tw/store/goods/400141,07
131,0,http://www.uniqlo.com/tw/store/goods/400510,28
131,0,http://www.uniqlo.com/tw/store/goods/400635,69
131,0,http://www.uniqlo.com/tw/store/goods/401848,25
132,0,http://www.uniqlo.com/tw/store/goods/403138,33
132,0,http://www.uniqlo.com/tw/store/goods/400501,19
132,0,http://www.uniqlo.com/tw/store/goods/400328,00
