product_id,cloudinary_url
69,http://res.cloudinary.com/dec3rgj55/image/upload/v1521948423/chip/uniqlo69.gif
70,http://res.cloudinary.com/dec3rgj55/image/upload/v1521948425/chip/uniqlo70.gif
71,http://res.cloudinary.com/dec3rgj55/image/upload/v1521948426/chip/uniqlo71.gif
72,http://res.cloudinary.com/dec3rgj55/image/upload/v1521948427/chip/uniqlo72.gif
73,http://res.cloudinary.com/dec3rgj55/image/upload/v1521948429/chip/uniqlo73.gif
74,http://res.cloudinary.com/dec3rgj55/image/upload/v1521948431/chip/uniqlo74.gif
75,http://res.cloudinary.com/dec3rgj55/image/upload/v1521948432/chip/uniqlo75.gif
76,http://res.cloudinary.com/dec3rgj55/image/upload/v1521948433/chip/uniqlo76.gif
77,http://res.cloudinary.com/dec3rgj55/image/upload/v1521948435/chip/uniqlo77.gif
78,http://res.cloudinary.com/dec3rgj55/image/upload/v1521948436/chip/uniqlo78.gif
79,http://res.cloudinary.com/dec3rgj55/image/upload/v1521948438/chip/uniqlo79.gif
80,http://res.cloudinary.com/dec3rgj55/image/upload/v1521948440/chip/uniqlo80.gif
81,http://res.cloudinary.com/dec3rgj55/image/upload/v1521948441/chip/uniqlo81.gif
82,http://res.cloudinary.com/dec3rgj55/image/upload/v1521948443/chip/uniqlo82.gif
83,http://res.cloudinary.com/dec3rgj55/image/upload/v1521948444/chip/uniqlo83.gif
84,http://res.cloudinary.com/dec3rgj55/image/upload/v1521948446/chip/uniqlo84.gif
85,http://res.cloudinary.com/dec3rgj55/image/upload/v1521948447/chip/uniqlo85.gif
86,http://res.cloudinary.com/dec3rgj55/image/upload/v1521948449/chip/uniqlo86.gif
87,http://res.cloudinary.com/dec3rgj55/image/upload/v1521948450/chip/uniqlo87.gif
88,http://res.cloudinary.com/dec3rgj55/image/upload/v1521948452/chip/uniqlo88.gif
89,http://res.cloudinary.com/dec3rgj55/image/upload/v1521948454/chip/uniqlo89.gif
90,http://res.cloudinary.com/dec3rgj55/image/upload/v1521948455/chip/uniqlo90.gif
91,http://res.cloudinary.com/dec3rgj55/image/upload/v1521948457/chip/uniqlo91.gif
92,http://res.cloudinary.com/dec3rgj55/image/upload/v1521948458/chip/uniqlo92.gif
93,http://res.cloudinary.com/dec3rgj55/image/upload/v1521948460/chip/uniqlo93.gif
94,http://res.cloudinary.com/dec3rgj55/image/upload/v1521948461/chip/uniqlo94.gif
95,http://res.cloudinary.com/dec3rgj55/image/upload/v1521948463/chip/uniqlo95.gif
96,http://res.cloudinary.com/dec3rgj55/image/upload/v1521948464/chip/uniqlo96.gif
97,http://res.cloudinary.com/dec3rgj55/image/upload/v1521948466/chip/uniqlo97.gif
98,http://res.cloudinary.com/dec3rgj55/image/upload/v1521948467/chip/uniqlo98.gif
99,http://res.cloudinary.com/dec3rgj55/image/upload/v1521948469/chip/uniqlo99.gif
100,http://res.cloudinary.com/dec3rgj55/image/upload/v1521948471/chip/uniqlo100.gif
101,http://res.cloudinary.com/dec3rgj55/image/upload/v1521948472/chip/uniqlo101.gif
102,http://res.cloudinary.com/dec3rgj55/image/upload/v1521948474/chip/uniqlo102.gif
103,http://res.cloudinary.com/dec3rgj55/image/upload/v1521948476/chip/uniqlo103.gif
104,http://res.cloudinary.com/dec3rgj55/image/upload/v1521948477/chip/uniqlo104.gif
105,http://res.cloudinary.com/dec3rgj55/image/upload/v1521948478/chip/uniqlo105.gif
106,http://res.cloudinary.com/dec3rgj55/image/upload/v1521948480/chip/uniqlo106.gif
107,http://res.cloudinary.com/dec3rgj55/image/upload/v1521948482/chip/uniqlo107.gif
108,http://res.cloudinary.com/dec3rgj55/image/upload/v1521948483/chip/uniqlo108.gif
109,http://res.cloudinary.com/dec3rgj55/image/upload/v1521948485/chip/uniqlo109.gif
110,http://res.cloudinary.com/dec3rgj55/image/upload/v1521948486/chip/uniqlo110.gif
111,http://res.cloudinary.com/dec3rgj55/image/upload/v1521948488/chip/uniqlo111.gif
112,http://res.cloudinary.com/dec3rgj55/image/upload/v1521948489/chip/uniqlo112.gif
113,http://res.cloudinary.com/dec3rgj55/image/upload/v1521948490/chip/uniqlo113.gif
114,http://res.cloudinary.com/dec3rgj55/image/upload/v1521948492/chip/uniqlo114.gif
115,http://res.cloudinary.com/dec3rgj55/image/upload/v1521948493/chip/uniqlo115.gif
116,http://res.cloudinary.com/dec3rgj55/image/upload/v1521948495/chip/uniqlo116.gif
