style_id,name,link,color,img_link,gender_id,category_of_gender_id,type_of_category_id,style_of_type_id
363,棉麻大衣,http://www.uniqlo.com/tw/store/goods/404201,32-BEIGE,http://im.uniqlo.com/images/tw/uq/pc/goods/404201/item/32_404201.jpg,1,0,0,25
363,棉麻大衣,http://www.uniqlo.com/tw/store/goods/404201,67-BLUE,http://im.uniqlo.com/images/tw/uq/pc/goods/404201/item/67_404201.jpg,1,0,0,25
363,棉麻大衣,http://www.uniqlo.com/tw/store/goods/404201,68-BLUE,http://im.uniqlo.com/images/tw/uq/pc/goods/404201/item/68_404201.jpg,1,0,0,25
364,IDLF 亞麻斜紋長褲,http://www.uniqlo.com/tw/store/goods/407138,30-NATURAL,http://im.uniqlo.com/images/tw/uq/pc/goods/407138/item/30_407138.jpg,1,0,0,26
364,IDLF 亞麻斜紋長褲,http://www.uniqlo.com/tw/store/goods/407138,69-NAVY,http://im.uniqlo.com/images/tw/uq/pc/goods/407138/item/69_407138.jpg,1,0,0,26
365,棉麻輕便長褲(條紋),http://www.uniqlo.com/tw/store/goods/408800,69-NAVY,http://im.uniqlo.com/images/tw/uq/pc/goods/408800/item/69_408800.jpg,1,0,0,27
366,棉麻輕便長褲,http://www.uniqlo.com/tw/store/goods/408031,08-DARK GRAY,http://im.uniqlo.com/images/tw/uq/pc/goods/408031/item/08_408031.jpg,1,0,0,28
366,棉麻輕便長褲,http://www.uniqlo.com/tw/store/goods/408031,27-ORANGE,http://im.uniqlo.com/images/tw/uq/pc/goods/408031/item/27_408031.jpg,1,0,0,28
366,棉麻輕便長褲,http://www.uniqlo.com/tw/store/goods/408031,31-BEIGE,http://im.uniqlo.com/images/tw/uq/pc/goods/408031/item/31_408031.jpg,1,0,0,28
366,棉麻輕便長褲,http://www.uniqlo.com/tw/store/goods/408031,56-OLIVE,http://im.uniqlo.com/images/tw/uq/pc/goods/408031/item/56_408031.jpg,1,0,0,28
366,棉麻輕便長褲,http://www.uniqlo.com/tw/store/goods/408031,67-BLUE,http://im.uniqlo.com/images/tw/uq/pc/goods/408031/item/67_408031.jpg,1,0,0,28
366,棉麻輕便長褲,http://www.uniqlo.com/tw/store/goods/408031,69-NAVY,http://im.uniqlo.com/images/tw/uq/pc/goods/408031/item/69_408031.jpg,1,0,0,28
367,棉麻輕便短褲,http://www.uniqlo.com/tw/store/goods/404700,00-WHITE,http://im.uniqlo.com/images/tw/uq/pc/goods/404700/item/00_404700.jpg,1,0,0,29
367,棉麻輕便短褲,http://www.uniqlo.com/tw/store/goods/404700,08-DARK GRAY,http://im.uniqlo.com/images/tw/uq/pc/goods/404700/item/08_404700.jpg,1,0,0,29
367,棉麻輕便短褲,http://www.uniqlo.com/tw/store/goods/404700,15-RED,http://im.uniqlo.com/images/tw/uq/pc/goods/404700/item/15_404700.jpg,1,0,0,29
367,棉麻輕便短褲,http://www.uniqlo.com/tw/store/goods/404700,31-BEIGE,http://im.uniqlo.com/images/tw/uq/pc/goods/404700/item/31_404700.jpg,1,0,0,29
367,棉麻輕便短褲,http://www.uniqlo.com/tw/store/goods/404700,42-YELLOW,http://im.uniqlo.com/images/tw/uq/pc/goods/404700/item/42_404700.jpg,1,0,0,29
367,棉麻輕便短褲,http://www.uniqlo.com/tw/store/goods/404700,56-OLIVE,http://im.uniqlo.com/images/tw/uq/pc/goods/404700/item/56_404700.jpg,1,0,0,29
367,棉麻輕便短褲,http://www.uniqlo.com/tw/store/goods/404700,68-BLUE,http://im.uniqlo.com/images/tw/uq/pc/goods/404700/item/68_404700.jpg,1,0,0,29
368,棉麻輕便短褲,http://www.uniqlo.com/tw/store/goods/408788,01-OFF WHITE,http://im.uniqlo.com/images/tw/uq/pc/goods/408788/item/01_408788.jpg,1,0,0,30
368,棉麻輕便短褲,http://www.uniqlo.com/tw/store/goods/408788,69-NAVY,http://im.uniqlo.com/images/tw/uq/pc/goods/408788/item/69_408788.jpg,1,0,0,30
369,HPJ亞麻混紡九分褲,http://www.uniqlo.com/tw/store/goods/405066,01-OFF WHITE,http://im.uniqlo.com/images/tw/uq/pc/goods/405066/item/01_405066.jpg,1,0,0,31
369,HPJ亞麻混紡九分褲,http://www.uniqlo.com/tw/store/goods/405066,27-ORANGE,http://im.uniqlo.com/images/tw/uq/pc/goods/405066/item/27_405066.jpg,1,0,0,31
369,HPJ亞麻混紡九分褲,http://www.uniqlo.com/tw/store/goods/405066,69-NAVY,http://im.uniqlo.com/images/tw/uq/pc/goods/405066/item/69_405066.jpg,1,0,0,31
370,IDLF 棉麻輕便長褲,http://www.uniqlo.com/tw/store/goods/405980,01-OFF WHITE,http://im.uniqlo.com/images/tw/uq/pc/goods/405980/item/01_405980.jpg,1,0,0,32
370,IDLF 棉麻輕便長褲,http://www.uniqlo.com/tw/store/goods/405980,13-RED,http://im.uniqlo.com/images/tw/uq/pc/goods/405980/item/13_405980.jpg,1,0,0,32
370,IDLF 棉麻輕便長褲,http://www.uniqlo.com/tw/store/goods/405980,67-BLUE,http://im.uniqlo.com/images/tw/uq/pc/goods/405980/item/67_405980.jpg,1,0,0,32
371,IDLF 棉麻抓皺裙,http://www.uniqlo.com/tw/store/goods/405979,13-RED,http://im.uniqlo.com/images/tw/uq/pc/goods/405979/item/13_405979.jpg,1,0,0,33
371,IDLF 棉麻抓皺裙,http://www.uniqlo.com/tw/store/goods/405979,61-BLUE,http://im.uniqlo.com/images/tw/uq/pc/goods/405979/item/61_405979.jpg,1,0,0,33
371,IDLF 棉麻抓皺裙,http://www.uniqlo.com/tw/store/goods/405979,67-BLUE,http://im.uniqlo.com/images/tw/uq/pc/goods/405979/item/67_405979.jpg,1,0,0,33
372,IDLE 棉麻設計裙,http://www.uniqlo.com/tw/store/goods/408385,00-WHITE,http://im.uniqlo.com/images/tw/uq/pc/goods/408385/item/00_408385.jpg,1,0,0,34
372,IDLE 棉麻設計裙,http://www.uniqlo.com/tw/store/goods/408385,65-BLUE,http://im.uniqlo.com/images/tw/uq/pc/goods/408385/item/65_408385.jpg,1,0,0,34
372,IDLE 棉麻設計裙,http://www.uniqlo.com/tw/store/goods/408385,69-NAVY,http://im.uniqlo.com/images/tw/uq/pc/goods/408385/item/69_408385.jpg,1,0,0,34
373,HPJ 棉麻長上衣(長袖),http://www.uniqlo.com/tw/store/goods/405115,01-OFF WHITE,http://im.uniqlo.com/images/tw/uq/pc/goods/405115/item/01_405115.jpg,1,0,0,35
373,HPJ 棉麻長上衣(長袖),http://www.uniqlo.com/tw/store/goods/405115,11-PINK,http://im.uniqlo.com/images/tw/uq/pc/goods/405115/item/11_405115.jpg,1,0,0,35
373,HPJ 棉麻長上衣(長袖),http://www.uniqlo.com/tw/store/goods/405115,69-NAVY,http://im.uniqlo.com/images/tw/uq/pc/goods/405115/item/69_405115.jpg,1,0,0,35
374,HPJ 棉麻寬版T恤(長袖),http://www.uniqlo.com/tw/store/goods/405116,01-OFF WHITE,http://im.uniqlo.com/images/tw/uq/pc/goods/405116/item/01_405116.jpg,1,0,0,36
374,HPJ 棉麻寬版T恤(長袖),http://www.uniqlo.com/tw/store/goods/405116,21-LIGHT ORANGE,http://im.uniqlo.com/images/tw/uq/pc/goods/405116/item/21_405116.jpg,1,0,0,36
374,HPJ 棉麻寬版T恤(長袖),http://www.uniqlo.com/tw/store/goods/405116,69-NAVY,http://im.uniqlo.com/images/tw/uq/pc/goods/405116/item/69_405116.jpg,1,0,0,36
375,IDLF 亞麻 亨利領T恤 (短袖),http://www.uniqlo.com/tw/store/goods/405499,00-WHITE,http://im.uniqlo.com/images/tw/uq/pc/goods/405499/item/00_405499.jpg,1,0,0,37
375,IDLF 亞麻 亨利領T恤 (短袖),http://www.uniqlo.com/tw/store/goods/405499,15-RED,http://im.uniqlo.com/images/tw/uq/pc/goods/405499/item/15_405499.jpg,1,0,0,37
375,IDLF 亞麻 亨利領T恤 (短袖),http://www.uniqlo.com/tw/store/goods/405499,69-NAVY,http://im.uniqlo.com/images/tw/uq/pc/goods/405499/item/69_405499.jpg,1,0,0,37
376,棉麻圓領毛衣 (長袖),http://www.uniqlo.com/tw/store/goods/406754,01-OFF WHITE,http://im.uniqlo.com/images/tw/uq/pc/goods/406754/item/01_406754.jpg,1,0,0,38
376,棉麻圓領毛衣 (長袖),http://www.uniqlo.com/tw/store/goods/406754,09-BLACK,http://im.uniqlo.com/images/tw/uq/pc/goods/406754/item/09_406754.jpg,1,0,0,38
376,棉麻圓領毛衣 (長袖),http://www.uniqlo.com/tw/store/goods/406754,66-BLUE,http://im.uniqlo.com/images/tw/uq/pc/goods/406754/item/66_406754.jpg,1,0,0,38
377,IDLF 亞麻線條毛衣 (長袖),http://www.uniqlo.com/tw/store/goods/407391,06-GRAY,http://im.uniqlo.com/images/tw/uq/pc/goods/407391/item/06_407391.jpg,1,0,0,39
377,IDLF 亞麻線條毛衣 (長袖),http://www.uniqlo.com/tw/store/goods/407391,30-NATURAL,http://im.uniqlo.com/images/tw/uq/pc/goods/407391/item/30_407391.jpg,1,0,0,39
377,IDLF 亞麻線條毛衣 (長袖),http://www.uniqlo.com/tw/store/goods/407391,69-NAVY,http://im.uniqlo.com/images/tw/uq/pc/goods/407391/item/69_407391.jpg,1,0,0,39
378,IDLF 亞麻條紋毛衣 (長袖),http://www.uniqlo.com/tw/store/goods/408413,06-GRAY,http://im.uniqlo.com/images/tw/uq/pc/goods/408413/item/06_408413.jpg,1,0,0,40
378,IDLF 亞麻條紋毛衣 (長袖),http://www.uniqlo.com/tw/store/goods/408413,30-NATURAL,http://im.uniqlo.com/images/tw/uq/pc/goods/408413/item/30_408413.jpg,1,0,0,40
378,IDLF 亞麻條紋毛衣 (長袖),http://www.uniqlo.com/tw/store/goods/408413,69-NAVY,http://im.uniqlo.com/images/tw/uq/pc/goods/408413/item/69_408413.jpg,1,0,0,40
379,亞麻混紡開襟外套 (長袖),http://www.uniqlo.com/tw/store/goods/404016,01-OFF WHITE,http://im.uniqlo.com/images/tw/uq/pc/goods/404016/item/01_404016.jpg,1,0,0,41
379,亞麻混紡開襟外套 (長袖),http://www.uniqlo.com/tw/store/goods/404016,02-LIGHT GRAY,http://im.uniqlo.com/images/tw/uq/pc/goods/404016/item/02_404016.jpg,1,0,0,41
379,亞麻混紡開襟外套 (長袖),http://www.uniqlo.com/tw/store/goods/404016,10-PINK,http://im.uniqlo.com/images/tw/uq/pc/goods/404016/item/10_404016.jpg,1,0,0,41
379,亞麻混紡開襟外套 (長袖),http://www.uniqlo.com/tw/store/goods/404016,68-BLUE,http://im.uniqlo.com/images/tw/uq/pc/goods/404016/item/68_404016.jpg,1,0,0,41
380,IDLF 亞麻混紡A字洋裝 (無袖),http://www.uniqlo.com/tw/store/goods/405565001,67-BLUE,http://im.uniqlo.com/images/tw/uq/pc/goods/405565001/item/67_405565001.jpg,1,0,0,42
381,IDLF 亞麻混紡A字洋裝 (無袖),http://www.uniqlo.com/tw/store/goods/405565002,61-BLUE,http://im.uniqlo.com/images/tw/uq/pc/goods/405565002/item/61_405565002.jpg,1,0,0,43
382,IDLF 亞麻混紡A字洋裝 (無袖),http://www.uniqlo.com/tw/store/goods/405565003,15-RED,http://im.uniqlo.com/images/tw/uq/pc/goods/405565003/item/15_405565003.jpg,1,0,0,44
383,IDLF 亞麻混紡A字洋裝 (無袖),http://www.uniqlo.com/tw/store/goods/408942,65-BLUE,http://im.uniqlo.com/images/tw/uq/pc/goods/408942/item/65_408942.jpg,1,0,0,45
383,IDLF 亞麻混紡A字洋裝 (無袖),http://www.uniqlo.com/tw/store/goods/408942,69-NAVY,http://im.uniqlo.com/images/tw/uq/pc/goods/408942/item/69_408942.jpg,1,0,0,45
384,棉麻襯衫式洋裝 (七分袖),http://www.uniqlo.com/tw/store/goods/406434,01-OFF WHITE,http://im.uniqlo.com/images/tw/uq/pc/goods/406434/item/01_406434.jpg,1,0,0,46
384,棉麻襯衫式洋裝 (七分袖),http://www.uniqlo.com/tw/store/goods/406434,43-YELLOW,http://im.uniqlo.com/images/tw/uq/pc/goods/406434/item/43_406434.jpg,1,0,0,46
384,棉麻襯衫式洋裝 (七分袖),http://www.uniqlo.com/tw/store/goods/406434,54-GREEN,http://im.uniqlo.com/images/tw/uq/pc/goods/406434/item/54_406434.jpg,1,0,0,46
384,棉麻襯衫式洋裝 (七分袖),http://www.uniqlo.com/tw/store/goods/406434,69-NAVY,http://im.uniqlo.com/images/tw/uq/pc/goods/406434/item/69_406434.jpg,1,0,0,46
385,IDLF 棉麻披巾,http://www.uniqlo.com/tw/store/goods/406844,30-NATURAL,http://im.uniqlo.com/images/tw/uq/pc/goods/406844/item/30_406844.jpg,1,0,0,47
385,IDLF 棉麻披巾,http://www.uniqlo.com/tw/store/goods/406844,65-BLUE,http://im.uniqlo.com/images/tw/uq/pc/goods/406844/item/65_406844.jpg,1,0,0,47
385,IDLF 棉麻披巾,http://www.uniqlo.com/tw/store/goods/406844,68-BLUE,http://im.uniqlo.com/images/tw/uq/pc/goods/406844/item/68_406844.jpg,1,0,0,47
386,棉麻披巾,http://www.uniqlo.com/tw/store/goods/407225,04-GRAY,http://im.uniqlo.com/images/tw/uq/pc/goods/407225/item/04_407225.jpg,1,0,0,48
386,棉麻披巾,http://www.uniqlo.com/tw/store/goods/407225,31-BEIGE,http://im.uniqlo.com/images/tw/uq/pc/goods/407225/item/31_407225.jpg,1,0,0,48
386,棉麻披巾,http://www.uniqlo.com/tw/store/goods/407225,69-NAVY,http://im.uniqlo.com/images/tw/uq/pc/goods/407225/item/69_407225.jpg,1,0,0,48
387,棉麻披巾(漸層),http://www.uniqlo.com/tw/store/goods/404711,21-LIGHT ORANGE,http://im.uniqlo.com/images/tw/uq/pc/goods/404711/item/21_404711.jpg,1,0,0,49
387,棉麻披巾(漸層),http://www.uniqlo.com/tw/store/goods/404711,61-BLUE,http://im.uniqlo.com/images/tw/uq/pc/goods/404711/item/61_404711.jpg,1,0,0,49
387,棉麻披巾(漸層),http://www.uniqlo.com/tw/store/goods/404711,70-LIGHT PURPLE,http://im.uniqlo.com/images/tw/uq/pc/goods/404711/item/70_404711.jpg,1,0,0,49
388,棉麻披巾,http://www.uniqlo.com/tw/store/goods/407542,11-PINK,http://im.uniqlo.com/images/tw/uq/pc/goods/407542/item/11_407542.jpg,1,0,0,50
388,棉麻披巾,http://www.uniqlo.com/tw/store/goods/407542,50-LIGHT GREEN,http://im.uniqlo.com/images/tw/uq/pc/goods/407542/item/50_407542.jpg,1,0,0,50
388,棉麻披巾,http://www.uniqlo.com/tw/store/goods/407542,64-BLUE,http://im.uniqlo.com/images/tw/uq/pc/goods/407542/item/64_407542.jpg,1,0,0,50
389,棉質刺繡上衣 (無袖),http://www.uniqlo.com/tw/store/goods/405315,01-OFF WHITE,http://im.uniqlo.com/images/tw/uq/pc/goods/405315/item/01_405315.jpg,1,0,0,51
389,棉質刺繡上衣 (無袖),http://www.uniqlo.com/tw/store/goods/405315,09-BLACK,http://im.uniqlo.com/images/tw/uq/pc/goods/405315/item/09_405315.jpg,1,0,0,51
389,棉質刺繡上衣 (無袖),http://www.uniqlo.com/tw/store/goods/405315,43-YELLOW,http://im.uniqlo.com/images/tw/uq/pc/goods/405315/item/43_405315.jpg,1,0,0,51
389,棉質刺繡上衣 (無袖),http://www.uniqlo.com/tw/store/goods/405315,62-BLUE,http://im.uniqlo.com/images/tw/uq/pc/goods/405315/item/62_405315.jpg,1,0,0,51
390,棉質刺繡上衣 (短袖),http://www.uniqlo.com/tw/store/goods/404554,01-OFF WHITE,http://im.uniqlo.com/images/tw/uq/pc/goods/404554/item/01_404554.jpg,1,0,0,52
