style_id,name,link,color,image_link,gender_id,category_of_gender_id,type_of_category_id,style_of_type_id
313,男裝 束口褲 (棉質),http://www.uniqlo.com/tw/store/goods/403988,63-BLUE,http://im.uniqlo.com/images/tw/uq/pc/goods/403988/item/63_403988.jpg,0,1,1,21
313,男裝 束口褲 (棉質),http://www.uniqlo.com/tw/store/goods/403988,69-NAVY,http://im.uniqlo.com/images/tw/uq/pc/goods/403988/item/69_403988.jpg,0,1,1,21
314,男裝 束口褲,http://www.uniqlo.com/tw/store/goods/185334,06-GRAY,http://im.uniqlo.com/images/tw/uq/pc/goods/185334/item/06_185334.jpg,0,1,1,22
315,男裝 休閒長褲,http://www.uniqlo.com/tw/store/goods/404166,03-GRAY,http://im.uniqlo.com/images/tw/uq/pc/goods/404166/item/03_404166.jpg,0,1,1,23
315,男裝 休閒長褲,http://www.uniqlo.com/tw/store/goods/404166,64-BLUE,http://im.uniqlo.com/images/tw/uq/pc/goods/404166/item/64_404166.jpg,0,1,1,23
315,男裝 休閒長褲,http://www.uniqlo.com/tw/store/goods/404166,67-BLUE,http://im.uniqlo.com/images/tw/uq/pc/goods/404166/item/67_404166.jpg,0,1,1,23
316,男裝 DRY 彈性休閒長褲,http://www.uniqlo.com/tw/store/goods/400989,03-GRAY,http://im.uniqlo.com/images/tw/uq/pc/goods/400989/item/03_400989.jpg,0,1,1,24
316,男裝 DRY 彈性休閒長褲,http://www.uniqlo.com/tw/store/goods/400989,08-DARK GRAY,http://im.uniqlo.com/images/tw/uq/pc/goods/400989/item/08_400989.jpg,0,1,1,24
316,男裝 DRY 彈性休閒長褲,http://www.uniqlo.com/tw/store/goods/400989,09-BLACK,http://im.uniqlo.com/images/tw/uq/pc/goods/400989/item/09_400989.jpg,0,1,1,24
316,男裝 DRY 彈性休閒長褲,http://www.uniqlo.com/tw/store/goods/400989,69-NAVY,http://im.uniqlo.com/images/tw/uq/pc/goods/400989/item/69_400989.jpg,0,1,1,24
317,男裝 DRY 彈性休閒長褲,http://www.uniqlo.com/tw/store/goods/404168,03-GRAY,http://im.uniqlo.com/images/tw/uq/pc/goods/404168/item/03_404168.jpg,0,1,1,25
317,男裝 DRY 彈性休閒長褲,http://www.uniqlo.com/tw/store/goods/404168,08-DARK GRAY,http://im.uniqlo.com/images/tw/uq/pc/goods/404168/item/08_404168.jpg,0,1,1,25
317,男裝 DRY 彈性休閒長褲,http://www.uniqlo.com/tw/store/goods/404168,09-BLACK,http://im.uniqlo.com/images/tw/uq/pc/goods/404168/item/09_404168.jpg,0,1,1,25
317,男裝 DRY 彈性休閒長褲,http://www.uniqlo.com/tw/store/goods/404168,69-NAVY,http://im.uniqlo.com/images/tw/uq/pc/goods/404168/item/69_404168.jpg,0,1,1,25
318,男裝 DRY彈性休閒長褲,http://www.uniqlo.com/tw/store/goods/180729,69-NAVY,http://im.uniqlo.com/images/tw/uq/pc/goods/180729/item/69_180729.jpg,0,1,1,26
319,男裝 AIRism 運動機能五分緊身褲,http://www.uniqlo.com/tw/store/goods/406365,09-BLACK,http://im.uniqlo.com/images/tw/uq/pc/goods/406365/item/09_406365.jpg,0,1,1,27
320,男裝 五分卡其褲(圖紋),http://www.uniqlo.com/tw/store/goods/407760,31-BEIGE,http://im.uniqlo.com/images/tw/uq/pc/goods/407760/item/31_407760.jpg,0,1,1,28
320,男裝 五分卡其褲(圖紋),http://www.uniqlo.com/tw/store/goods/407760,58-DARK GREEN,http://im.uniqlo.com/images/tw/uq/pc/goods/407760/item/58_407760.jpg,0,1,1,28
320,男裝 五分卡其褲(圖紋),http://www.uniqlo.com/tw/store/goods/407760,66-BLUE,http://im.uniqlo.com/images/tw/uq/pc/goods/407760/item/66_407760.jpg,0,1,1,28
320,男裝 五分卡其褲(圖紋),http://www.uniqlo.com/tw/store/goods/407760,67-BLUE,http://im.uniqlo.com/images/tw/uq/pc/goods/407760/item/67_407760.jpg,0,1,1,28
321,男裝 五分卡其褲,http://www.uniqlo.com/tw/store/goods/182679,00-WHITE,http://im.uniqlo.com/images/tw/uq/pc/goods/182679/item/00_182679.jpg,0,1,1,29
321,男裝 五分卡其褲,http://www.uniqlo.com/tw/store/goods/182679,06-GRAY,http://im.uniqlo.com/images/tw/uq/pc/goods/182679/item/06_182679.jpg,0,1,1,29
321,男裝 五分卡其褲,http://www.uniqlo.com/tw/store/goods/182679,09-BLACK,http://im.uniqlo.com/images/tw/uq/pc/goods/182679/item/09_182679.jpg,0,1,1,29
321,男裝 五分卡其褲,http://www.uniqlo.com/tw/store/goods/182679,22-ORANGE,http://im.uniqlo.com/images/tw/uq/pc/goods/182679/item/22_182679.jpg,0,1,1,29
321,男裝 五分卡其褲,http://www.uniqlo.com/tw/store/goods/182679,31-BEIGE,http://im.uniqlo.com/images/tw/uq/pc/goods/182679/item/31_182679.jpg,0,1,1,29
321,男裝 五分卡其褲,http://www.uniqlo.com/tw/store/goods/182679,38-DARK BROWN,http://im.uniqlo.com/images/tw/uq/pc/goods/182679/item/38_182679.jpg,0,1,1,29
321,男裝 五分卡其褲,http://www.uniqlo.com/tw/store/goods/182679,57-OLIVE,http://im.uniqlo.com/images/tw/uq/pc/goods/182679/item/57_182679.jpg,0,1,1,29
321,男裝 五分卡其褲,http://www.uniqlo.com/tw/store/goods/182679,66-BLUE,http://im.uniqlo.com/images/tw/uq/pc/goods/182679/item/66_182679.jpg,0,1,1,29
321,男裝 五分卡其褲,http://www.uniqlo.com/tw/store/goods/182679,69-NAVY,http://im.uniqlo.com/images/tw/uq/pc/goods/182679/item/69_182679.jpg,0,1,1,29
322,男裝 五分卡其褲,http://www.uniqlo.com/tw/store/goods/199003,18-WINE,http://im.uniqlo.com/images/tw/uq/pc/goods/199003/item/18_199003.jpg,0,1,1,30
322,男裝 五分卡其褲,http://www.uniqlo.com/tw/store/goods/199003,35-BROWN,http://im.uniqlo.com/images/tw/uq/pc/goods/199003/item/35_199003.jpg,0,1,1,30
322,男裝 五分卡其褲,http://www.uniqlo.com/tw/store/goods/199003,65-BLUE,http://im.uniqlo.com/images/tw/uq/pc/goods/199003/item/65_199003.jpg,0,1,1,30
323,男裝 五分卡其褲,http://www.uniqlo.com/tw/store/goods/199005,59-DARK GREEN,http://im.uniqlo.com/images/tw/uq/pc/goods/199005/item/59_199005.jpg,0,1,1,31
324,男裝 五分卡其褲 (圖紋),http://www.uniqlo.com/tw/store/goods/193163,38-DARK BROWN,http://im.uniqlo.com/images/tw/uq/pc/goods/193163/item/38_193163.jpg,0,1,1,32
324,男裝 五分卡其褲 (圖紋),http://www.uniqlo.com/tw/store/goods/193163,68-BLUE,http://im.uniqlo.com/images/tw/uq/pc/goods/193163/item/68_193163.jpg,0,1,1,32
325,男裝 五分卡其褲 (圖紋),http://www.uniqlo.com/tw/store/goods/195664,65-BLUE,http://im.uniqlo.com/images/tw/uq/pc/goods/195664/item/65_195664.jpg,0,1,1,33
326,男裝 五分卡其褲(圖紋),http://www.uniqlo.com/tw/store/goods/408314,08-DARK GRAY,http://im.uniqlo.com/images/tw/uq/pc/goods/408314/item/08_408314.jpg,0,1,1,34
326,男裝 五分卡其褲(圖紋),http://www.uniqlo.com/tw/store/goods/408314,67-BLUE,http://im.uniqlo.com/images/tw/uq/pc/goods/408314/item/67_408314.jpg,0,1,1,34
327,男裝 工作短褲,http://www.uniqlo.com/tw/store/goods/406557,06-GRAY,http://im.uniqlo.com/images/tw/uq/pc/goods/406557/item/06_406557.jpg,0,1,1,35
327,男裝 工作短褲,http://www.uniqlo.com/tw/store/goods/406557,12-PINK,http://im.uniqlo.com/images/tw/uq/pc/goods/406557/item/12_406557.jpg,0,1,1,35
327,男裝 工作短褲,http://www.uniqlo.com/tw/store/goods/406557,31-BEIGE,http://im.uniqlo.com/images/tw/uq/pc/goods/406557/item/31_406557.jpg,0,1,1,35
327,男裝 工作短褲,http://www.uniqlo.com/tw/store/goods/406557,56-OLIVE,http://im.uniqlo.com/images/tw/uq/pc/goods/406557/item/56_406557.jpg,0,1,1,35
327,男裝 工作短褲,http://www.uniqlo.com/tw/store/goods/406557,61-BLUE,http://im.uniqlo.com/images/tw/uq/pc/goods/406557/item/61_406557.jpg,0,1,1,35
327,男裝 工作短褲,http://www.uniqlo.com/tw/store/goods/406557,69-NAVY,http://im.uniqlo.com/images/tw/uq/pc/goods/406557/item/69_406557.jpg,0,1,1,35
