product_id,rgb hex,ryb hex,percentage of clothes,hue_level
861,#C2A489,#c2bc89,95.9,3
862,#616656,#56665b,97.9,6
863,#E5E5DE,#dee5de,100.0,13
864,#2B2F3A,#2b2e3a,93.6,10
865,#404948,#404449,13.4,8
866,#33383B,#33363b,100.0,9
867,#232524,#232425,34.9,15
868,#23232B,#23232b,98.3,15
869,#92999F,#92969f,100.0,9
870,#E2E1DD,#dee2dd,78.7,13
871,#2D313D,#2d303d,62.4,10
872,#8092A0,#808ba0,100.0,9
873,#2A2C26,#262c28,94.6,15
874,#A99261,#82a961,51.0,3
875,#75534A,#75554a,96.1,2
876,#242528,#242428,95.2,15
877,#AC9768,#86ac68,90.7,4
878,#646143,#466443,72.1,5
879,#1E2737,#1e2437,100.0,9
880,#515A57,#51565a,74.0,8
881,#1E1E1E,#1e1e1e,100.0,15
882,#A19274,#8aa174,100.0,3
883,#252F3B,#252b3b,99.2,9
884,#272D3B,#272b3b,100.0,10
885,#2A2A2A,#2a2a2a,100.0,15
886,#272E38,#272b38,100.0,9
887,#636C68,#63686c,86.8,7
888,#363532,#333632,100.0,4
889,#C2A77A,#a5c27a,100.0,3
890,#596252,#52625b,58.7,6
891,#7293AD,#7287ad,92.4,9
892,#2A3040,#2a2e40,100.0,10
893,#3F4549,#3f4249,50.2,9
894,#B3B6AD,#adb6b0,51.0,14
895,#506A81,#506081,64.3,9
896,#445E73,#445473,84.7,9
897,#B4BABC,#b4b7bc,87.8,14
898,#384247,#383e47,84.5,9
899,#252525,#252525,100.0,15
900,#203342,#202c42,99.2,9
901,#BCC4C6,#bcc0c6,92.1,14
902,#3B4346,#3b3f46,88.2,9
903,#1E201F,#1e1f20,77.7,15
904,#273A49,#273349,100.0,9
905,#2F3248,#2f3148,100.0,10
906,#26272A,#26262a,98.3,15
907,#C4A97D,#a8c47d,100.0,3
908,#53604F,#4f605c,89.9,6
909,#336A83,#335383,100.0,9
910,#3D4864,#3d4564,97.7,10
911,#E7E6E1,#e2e7e1,88.6,13
912,#4C4C4C,#4c4c4c,94.8,14
913,#252424,#252424,57.2,15
914,#E98676,#e98876,99.8,1
915,#D5B994,#c5d594,100.0,3
916,#7A614A,#7a764a,76.7,3
917,#616340,#406342,57.6,5
918,#344957,#344157,71.7,9
919,#302F37,#302f37,100.0,10
920,#523338,#523338,84.5,1
921,#B18B4A,#86b14a,99.6,3
922,#46729B,#46629b,62.6,9
923,#2B372D,#2b3537,93.6,7
924,#4A433C,#4a4a3c,45.0,3
925,#343E40,#343940,53.1,9
926,#857A6F,#85856f,17.8,3
927,#3D3425,#333d25,67.6,3
928,#413E46,#413e46,35.7,11
929,#566061,#565b61,100.0,8
930,#DC817E,#dc817e,100.0,1
931,#C5B6A1,#bac5a1,100.0,3
932,#77856E,#6e857c,100.0,6
933,#6F98B7,#6f89b7,100.0,9
934,#2F3A4B,#2f364b,86.2,9
935,#2F3557,#2f3457,64.3,10
936,#E9E9E0,#e0e9e0,100.0,13
937,#2E2F32,#2e2e32,78.5,15
938,#AF5C36,#af6d36,95.5,2
939,#7A785F,#617a5f,97.1,5
940,#354D51,#354151,96.9,9
941,#CACBC5,#c5cbc6,100.0,14
942,#91999B,#91959b,64.7,14
943,#242625,#242526,98.1,15
944,#242739,#242639,100.0,10
945,#E1E2DD,#dde2de,65.9,13
946,#414340,#404342,100.0,14
947,#2C2B28,#292c28,100.0,15
948,#D4A8A7,#d4a8a7,100.0,1
949,#A6494D,#a6494d,86.6,1
950,#A0885D,#82a05d,100.0,3
951,#BC9039,#7bbc39,100.0,3
952,#667050,#50705a,97.3,6
953,#527E98,#526d98,100.0,9
954,#2B2F38,#2b2e38,65.9,10
955,#384040,#383c40,100.0,8
956,#2F3848,#2f3548,70.2,9
957,#22241E,#1e2420,99.0,15
958,#AE9669,#8dae69,52.3,3
959,#222A24,#22282a,100.0,15
960,#576E76,#576476,92.6,9
961,#252721,#212723,95.0,15
962,#64624C,#4e644c,37.6,5
963,#1E2C37,#1e2637,100.0,9
964,#2A2A2A,#2a2a2a,99.0,15
965,#706E57,#597057,93.2,5
966,#3C5458,#3c4858,71.3,9
967,#437194,#436094,94.4,9
968,#E0E0E0,#e0e0e0,100.0,13
969,#E7D0D1,#e7d0d1,100.0,1
970,#D8AC57,#99d857,100.0,3
971,#0C5E79,#0c3a79,100.0,9
972,#525047,#495247,95.0,4
973,#1B202F,#1b1f2f,100.0,15
974,#E1E1E1,#e1e1e1,100.0,13
975,#F27A5A,#f2825a,100.0,2
976,#DAAE54,#95da54,100.0,3
977,#2A2A36,#2a2a36,88.6,10
978,#E7E7E7,#e7e7e7,100.0,13
979,#F8DEDF,#f8dedf,100.0,1
980,#EF7A66,#ef7d66,73.1,2
981,#F8EFDA,#e6f8da,85.7,4
982,#D2E3D9,#d2dee3,100.0,13
983,#D7DDF5,#d7dcf5,100.0,10
984,#262631,#262631,51.7,15
985,#ECECE7,#e7ece7,91.9,13
986,#24242C,#24242c,100.0,15
987,#CBCCC0,#c0ccc1,78.5,13
988,#1E272E,#1e232e,50.8,15
989,#E0D9C9,#d3e0c9,78.9,4
990,#151516,#151516,31.6,15
991,#B30C29,#b30c29,65.5,1
992,#222836,#222636,100.0,10
993,#202020,#202020,100.0,15
994,#DE7C65,#de8165,100.0,2
995,#CEB286,#b3ce86,100.0,3
996,#2363A0,#234da0,97.9,9
997,#ECEDEE,#ececee,36.0,13
998,#EF6654,#ef6854,100.0,1
999,#CA9D56,#9fca56,100.0,3
1000,#0DA59D,#0d5ba5,100.0,8
1001,#314867,#314167,100.0,9
1002,#C0BFE9,#c0bfe9,100.0,10
1003,#F4F4F6,#f4f4f6,35.1,13
1004,#DAD6D5,#dad6d5,86.2,13
1005,#FCDDE5,#fcdde5,100.0,1
1006,#FA675E,#fa675e,100.0,1
1007,#FD9B63,#fdbb63,100.0,2
1008,#996723,#799923,56.4,3
1009,#F5E9C9,#d9f5c9,100.0,4
1010,#F7C562,#adf762,100.0,3
1011,#C1E0D3,#c1d4e0,97.3,8
1012,#756C5C,#6a755c,84.9,3
1013,#D5DEEC,#d5dbec,100.0,9
1014,#345199,#344a99,100.0,10
1015,#292E40,#292d40,100.0,10
1016,#E1D4E5,#e1d4e5,26.9,13
1017,#CAC4C2,#cac4c2,96.9,14
1018,#F4CD7D,#b7f47d,78.1,3
1019,#7D9593,#7d8995,27.7,8
1020,#212640,#212540,27.3,10
1021,#E8D1D0,#e8d1d0,47.3,1
1022,#C7C5D4,#c7c5d4,45.0,13
1023,#F5807E,#f5807e,100.0,1
1024,#2B4367,#2b3c67,62.8,9
1025,#EDEEE9,#e9eeea,98.1,13
1026,#222D3C,#22293c,84.9,9
1027,#ECEDE8,#e8ede9,98.8,13
1028,#485F81,#485881,100.0,9
1029,#242F42,#242c42,100.0,9
1030,#EFEEE2,#e3efe2,90.5,13
1031,#2D3C4F,#2d374f,99.4,9
1032,#BBC0E2,#bbbfe2,100.0,10
1033,#1F1E1C,#1d1f1c,54.8,15
1034,#E7927B,#e7987b,100.0,2
1035,#AAB7DB,#aab4db,99.8,10
1036,#E7DFCB,#d6e7cb,99.4,4
1037,#ECBEC4,#ecbec4,90.9,1
1038,#D4CCB8,#c3d4b8,92.1,4
1039,#E8B6BF,#e8b6bf,85.3,1
1040,#F0ECE8,#f0f0e8,94.6,13
1041,#916535,#899135,97.1,3
1042,#222D40,#222a40,100.0,9
