style_id,name,image_link,color_chip_link,gender_id,category_of_gender_id,type_of_category_id,style_of_type_id
214,法蘭絨格紋襯衫,https://s3.lativ.com.tw/i/32360/32360061/3236006_500.jpg,https://s3.lativ.com.tw/i/32360/32360061/3236006_24.jpg,0,1,2,0
214,法蘭絨格紋襯衫,https://s3.lativ.com.tw/i/32360/32360071/3236007_500.jpg,https://s3.lativ.com.tw/i/32360/32360071/3236007_24.jpg,0,1,2,0
214,法蘭絨格紋襯衫,https://s3.lativ.com.tw/i/32360/32360081/3236008_500.jpg,https://s3.lativ.com.tw/i/32360/32360081/3236008_24.jpg,0,1,2,0
214,法蘭絨格紋襯衫,https://s3.lativ.com.tw/i/32360/32360091/3236009_500.jpg,https://s3.lativ.com.tw/i/32360/32360091/3236009_24.jpg,0,1,2,0
214,法蘭絨格紋襯衫,https://s3.lativ.com.tw/i/32360/32360121/3236012_500.jpg,https://s3.lativ.com.tw/i/32360/32360121/3236012_24.jpg,0,1,2,0
214,法蘭絨格紋襯衫,https://s3.lativ.com.tw/i/32360/32360131/3236013_500.jpg,https://s3.lativ.com.tw/i/32360/32360131/3236013_24.jpg,0,1,2,0
214,法蘭絨格紋襯衫,https://s3.lativ.com.tw/i/32360/32360141/3236014_500.jpg,https://s3.lativ.com.tw/i/32360/32360141/3236014_24.jpg,0,1,2,0
214,法蘭絨格紋襯衫,https://s3.lativ.com.tw/i/32360/32360151/3236015_500.jpg,https://s3.lativ.com.tw/i/32360/32360151/3236015_24.jpg,0,1,2,0
215,七分工作褲,https://s3.lativ.com.tw/i/34972/34972011/3497201_500.jpg,https://s3.lativ.com.tw/i/34972/34972011/3497201_48.jpg,0,2,0,0
215,七分工作褲,https://s3.lativ.com.tw/i/34972/34972021/3497202_500.jpg,https://s3.lativ.com.tw/i/34972/34972021/3497202_48.jpg,0,2,0,0
215,七分工作褲,https://s3.lativ.com.tw/i/34972/34972031/3497203_500.jpg,https://s3.lativ.com.tw/i/34972/34972031/3497203_48.jpg,0,2,0,0
216,休閒海灘褲,https://s3.lativ.com.tw/i/34993/34993011/3499301_500.jpg,https://s3.lativ.com.tw/i/34993/34993011/3499301_48.jpg,0,2,0,1
216,休閒海灘褲,https://s3.lativ.com.tw/i/34993/34993021/3499302_500.jpg,https://s3.lativ.com.tw/i/34993/34993021/3499302_48.jpg,0,2,0,1
216,休閒海灘褲,https://s3.lativ.com.tw/i/34993/34993031/3499303_500.jpg,https://s3.lativ.com.tw/i/34993/34993031/3499303_48.jpg,0,2,0,1
216,休閒海灘褲,https://s3.lativ.com.tw/i/34993/34993041/3499304_500.jpg,https://s3.lativ.com.tw/i/34993/34993041/3499304_48.jpg,0,2,0,1
217,輕便短褲,https://s3.lativ.com.tw/i/34971/34971011/3497101_500.jpg,https://s3.lativ.com.tw/i/34971/34971011/3497101_48.jpg,0,2,0,2
217,輕便短褲,https://s3.lativ.com.tw/i/34971/34971021/3497102_500.jpg,https://s3.lativ.com.tw/i/34971/34971021/3497102_48.jpg,0,2,0,2
